1.3.6.1.4.1.11129.2.4.2 SCT-list
0.9.2342.19200300.100.1.25 domain-component
0.9.2342.19200300.100.1.3 mail
1.2.840.10040.4.1 DSA
1.2.840.10040.4.3 dsaWithSha1
1.2.840.10045.2.1 ECC-(ecPublicKey)
1.2.840.10045.3.1.1 secp192r1
1.2.840.10045.3.1.7 secp256r1
1.2.840.10045.4.1 ecdsaWithSha1
1.2.840.10045.4.3.1 ecdsaWithSha224
1.2.840.10045.4.3.2 ecdsaWithSha256
1.2.840.10045.4.3.3 ecdsaWithSha384
1.2.840.10045.4.3.4 ecdsaWithSha512
1.2.840.10046.2.1 Diffie-Hellman-(dhPublicNumber)
1.2.840.113549.1.1.1 RSA-Encryption
1.2.840.113549.1.1.11 sha256WithRsaEncryption
1.2.840.113549.1.1.12 sha384WithRsaEncryption
1.2.840.113549.1.1.13 sha512WithRsaEncryption
1.2.840.113549.1.1.14 sha224WithRsaEncryption
1.2.840.113549.1.1.2 md2WithRsaEncryption
1.2.840.113549.1.1.4 md5WithRsaEncryption
1.2.840.113549.1.1.5 sha1WithRsaEncryption
1.2.840.113549.1.12.1.1 pbeWithSha1And128BitRc4
1.2.840.113549.1.12.1.2 pbeWithSha1And40BitRc4
1.2.840.113549.1.12.1.3 pbeWithSha1And3DesCbc
1.2.840.113549.1.12.1.5 pbeWithSha1And128BitRc2Cbc
1.2.840.113549.1.12.1.6 pbeWithSha1And40BitRc2Cbc
1.2.840.113549.1.12.5.1.1 pb1WithSha1And128BitRc4
1.2.840.113549.1.12.5.1.2 pb1WithSha1And40BitRc4
1.2.840.113549.1.12.5.1.3 pb1WithSha1And3DesCbc
1.2.840.113549.1.12.5.1.4 pb1WithSha1And128BitRc2Cbc
1.2.840.113549.1.12.5.1.5 pb1WithSha1And40BitRc2Cbc
1.2.840.113549.1.5.1 pbeWithMd2AndDesCbc
1.2.840.113549.1.5.10 pbeWithSha1AndDesCbc
1.2.840.113549.1.5.11 pbeWithSha1AndRc2Cbc
1.2.840.113549.1.5.3 pbeWithMd5AndDesCbc
1.2.840.113549.1.5.4 pbeWithMd2AndRc2Cbc
1.2.840.113549.1.5.6 pbeWithMd5AndRc2Cbc
1.2.840.113549.1.9.1 email-address
1.2.840.113549.2.2 MD2
1.2.840.113549.2.5 MD5
1.2.840.113549.3.7 3DES-CBC
1.3.132.0.33 secp224r1
1.3.132.0.34 secp384r1
1.3.132.0.35 secp521r1
1.3.14.3.2.26 SHA-1
1.3.14.3.2.7 DES-CBC
1.3.36.3.3.2.8.1.1.1 brainpoolP160r1
1.3.36.3.3.2.8.1.1.11 brainpoolP384r1
1.3.36.3.3.2.8.1.1.13 brainpoolP512r1
1.3.36.3.3.2.8.1.1.3 brainpoolP192r1
1.3.36.3.3.2.8.1.1.5 brainpoolP224r1
1.3.36.3.3.2.8.1.1.7 brainpoolP256r1
1.3.36.3.3.2.8.1.1.9 brainpoolP320r1
1.3.6.1.4.1.44363.44 delegationUsage
1.3.6.1.5.5.7.1.1 authorityInfoAccess
1.3.6.1.5.5.7.3.1 serverAuth
1.3.6.1.5.5.7.3.2 clientAuth
2.16.840.1.101.3.4.1.2 AES-CBC-128
2.16.840.1.101.3.4.1.42 AES-CBC-256
2.16.840.1.101.3.4.2.1 SHA-256
2.16.840.1.101.3.4.2.2 SHA-394
2.16.840.1.101.3.4.2.3 SHA-512
2.16.840.1.101.3.4.2.4 SHA-224
2.16.840.1.101.3.4.3.1 dsaWithSha224
2.16.840.1.101.3.4.3.2 dsaWithSha256
2.5.29.14 subjectKeyIdentifier
2.5.29.15 keyUsage
2.5.29.17 subjectAlternateName
2.5.29.19 basicConstraints
2.5.29.31 cRLDistributionPoints
2.5.29.32 certificatePolicies
2.5.29.35 authorityKeyIdentifier
2.5.29.37 extendedKeyUsage
2.5.4.10 organization-name
2.5.4.11 organizational-unit-name
2.5.4.12 title
2.5.4.17 postal-code
2.5.4.18 post-office-box
2.5.4.3 common-name
2.5.4.4 surname
2.5.4.41 name
2.5.4.42 given-name
2.5.4.43 initials
2.5.4.44 generation-qualifier
2.5.4.46 dnQualifier
2.5.4.5 serial-number
2.5.4.6 country-name
2.5.4.7 locality-name
2.5.4.8 state-or-province-name
2.5.4.9 street-address
